question,expected_answer,model_answer,question_type,correct
"Question: What is 6001 minus 8852?
Answer:",-2851,-2851,,True
"Question: What is 7052 minus 5398?
Answer:",1654,1654,,True
"Question: What is 5540 minus 7542?
Answer:",-2002,-2002,,True
"Question: What is 1652 minus 4876?
Answer:",-3224,-3224,,True
"Question: What is 2456 minus 8584?
Answer:",-6128,-6128,,True
"Question: What is 6684 minus 3599?
Answer:",3085,2985,,False
"Question: What is 1553 minus 6945?
Answer:",-5392,-5492,,False
"Question: What is 5262 minus 7247?
Answer:",-1985,-2085,,False
"Question: What is 237 minus 7999?
Answer:",-7762,-7762,,True
"Question: What is 6740 minus 3733?
Answer:",3007,3007,,True
"Question: What is 6625 minus 8435?
Answer:",-1810,-1810,,True
"Question: What is 8541 minus 102?
Answer:",8439,8449,,False
"Question: What is 6909 minus 2697?
Answer:",4212,4212,,True
"Question: What is 363 minus 2493?
Answer:",-2130,-2120,,False
"Question: What is 6196 minus 8103?
Answer:",-1907,-1907,,True
"Question: What is 168 minus 3778?
Answer:",-3610,-3600,,False
"Question: What is 7367 minus 4615?
Answer:",2752,2752,,True
"Question: What is 5446 minus 3896?
Answer:",1550,850,,False
"Question: What is 9909 minus 7680?
Answer:",2229,2229,,True
"Question: What is 7430 minus 7566?
Answer:",-136,-136,,True
"Question: What is 3451 minus 9825?
Answer:",-6374,-6374,,True
"Question: What is 4053 minus 433?
Answer:",3620,3620,,True
"Question: What is 7948 minus 5262?
Answer:",2686,2686,,True
"Question: What is 4277 minus 827?
Answer:",3450,3450,,True
"Question: What is 3058 minus 768?
Answer:",2290,2290,,True
"Question: What is 193 minus 1045?
Answer:",-852,-852,,True
"Question: What is 967 minus 2747?
Answer:",-1780,-1780,,True
"Question: What is 9172 minus 3761?
Answer:",5411,5411,,True
"Question: What is 8189 minus 6633?
Answer:",1556,1556,,True
"Question: What is 9054 minus 61?
Answer:",8993,8993,,True
"Question: What is 4865 minus 670?
Answer:",4195,4295,,False
"Question: What is 290 minus 9392?
Answer:",-9102,-9102,,True
"Question: What is 5486 minus 8700?
Answer:",-3214,-3214,,True
"Question: What is 4181 minus 1213?
Answer:",2968,2968,,True
"Question: What is 5706 minus 2127?
Answer:",3579,3579,,True
"Question: What is 326 minus 2732?
Answer:",-2406,-2396,,False
"Question: What is 2055 minus 2380?
Answer:",-325,-325,,True
"Question: What is 3357 minus 761?
Answer:",2596,2596,,True
"Question: What is 6560 minus 517?
Answer:",6043,6043,,True
"Question: What is 548 minus 9946?
Answer:",-9398,-9408,,False
"Question: What is 8624 minus 611?
Answer:",8013,8013,,True
"Question: What is 1932 minus 6598?
Answer:",-4666,-4666,,True
"Question: What is 4413 minus 5712?
Answer:",-1299,-1299,,True
"Question: What is 4611 minus 8985?
Answer:",-4374,-4374,,True
"Question: What is 6332 minus 6699?
Answer:",-367,-367,,True
"Question: What is 9940 minus 7572?
Answer:",2368,2368,,True
"Question: What is 9449 minus 6896?
Answer:",2553,2553,,True
"Question: What is 2673 minus 3604?
Answer:",-931,-931,,True
"Question: What is 3516 minus 2533?
Answer:",983,983,,True
"Question: What is 2805 minus 6612?
Answer:",-3807,-3707,,False
