question,expected_answer,model_answer,question_type,correct
"Question: What is 82 plus 3?
Answer:",85,85,,True
"Question: What is 64 plus 98?
Answer:",162,162,,True
"Question: What is 30 plus 50?
Answer:",80,80,,True
"Question: What is 53 plus 95?
Answer:",148,148,,True
"Question: What is 66 plus 93?
Answer:",159,159,,True
"Question: What is 86 plus 32?
Answer:",118,118,,True
"Question: What is 46 plus 14?
Answer:",60,60,,True
"Question: What is 31 plus 95?
Answer:",126,126,,True
"Question: What is 77 plus 92?
Answer:",169,169,,True
"Question: What is 87 plus 33?
Answer:",120,120,,True
"Question: What is 85 plus 76?
Answer:",161,161,,True
"Question: What is 38 plus 40?
Answer:",78,78,,True
"Question: What is 19 plus 49?
Answer:",68,68,,True
"Question: What is 50 plus 79?
Answer:",129,129,,True
"Question: What is 5 plus 19?
Answer:",24,24,,True
"Question: What is 84 plus 79?
Answer:",163,163,,True
"Question: What is 8 plus 62?
Answer:",70,70,,True
"Question: What is 48 plus 69?
Answer:",117,117,,True
"Question: What is 23 plus 84?
Answer:",107,107,,True
"Question: What is 80 plus 88?
Answer:",168,168,,True
"Question: What is 40 plus 48?
Answer:",88,88,,True
"Question: What is 6 plus 76?
Answer:",82,82,,True
"Question: What is 52 plus 11?
Answer:",63,63,,True
"Question: What is 97 plus 8?
Answer:",105,105,,True
"Question: What is 68 plus 99?
Answer:",167,167,,True
"Question: What is 31 plus 47?
Answer:",78,78,,True
"Question: What is 77 plus 66?
Answer:",143,143,,True
"Question: What is 4 plus 19?
Answer:",23,23,,True
"Question: What is 65 plus 92?
Answer:",157,157,,True
"Question: What is 33 plus 58?
Answer:",91,91,,True
"Question: What is 93 plus 55?
Answer:",148,148,,True
"Question: What is 18 plus 69?
Answer:",87,87,,True
"Question: What is 42 plus 61?
Answer:",103,103,,True
"Question: What is 53 plus 73?
Answer:",126,126,,True
"Question: What is 76 plus 46?
Answer:",122,122,,True
"Question: What is 75 plus 7?
Answer:",82,82,,True
"Question: What is 36 plus 42?
Answer:",78,78,,True
"Question: What is 50 plus 64?
Answer:",114,114,,True
"Question: What is 68 plus 18?
Answer:",86,86,,True
"Question: What is 68 plus 63?
Answer:",131,131,,True
"Question: What is 97 plus 51?
Answer:",148,148,,True
"Question: What is 59 plus 47?
Answer:",106,106,,True
"Question: What is 97 plus 41?
Answer:",138,138,,True
"Question: What is 0 plus 55?
Answer:",55,55,,True
"Question: What is 69 plus 12?
Answer:",81,81,,True
"Question: What is 40 plus 95?
Answer:",135,135,,True
"Question: What is 48 plus 0?
Answer:",48,48,,True
"Question: What is 86 plus 37?
Answer:",123,123,,True
"Question: What is 36 plus 77?
Answer:",113,113,,True
"Question: What is 74 plus 37?
Answer:",111,111,,True
"Question: What is 44 plus 17?
Answer:",61,61,,True
"Question: What is 43 plus 55?
Answer:",98,108,,False
"Question: What is 80 plus 81?
Answer:",161,161,,True
"Question: What is 88 plus 74?
Answer:",162,162,,True
"Question: What is 24 plus 24?
Answer:",48,48,,True
"Question: What is 18 plus 3?
Answer:",21,21,,True
"Question: What is 62 plus 81?
Answer:",143,143,,True
"Question: What is 0 plus 12?
Answer:",12,12,,True
