question,expected_answer,model_answer,question_type,correct
"Question: What is 98 plus 41?
Answer:",139,49,,False
"Question: What is 93 plus 77?
Answer:",170,77,,False
"Question: What is 54 plus 35?
Answer:",89,19,,False
"Question: What is 91 plus 75?
Answer:",166,75,,False
"Question: What is 41 plus 31?
Answer:",72,31,,False
"Question: What is 44 plus 39?
Answer:",83,99,,False
"Question: What is 95 plus 31?
Answer:",126,39,,False
"Question: What is 39 plus 32?
Answer:",71,32,,False
"Question: What is 64 plus 81?
Answer:",145,99,,False
"Question: What is 6 plus 4?
Answer:",10,99,,False
"Question: What is 36 plus 39?
Answer:",75,99,,False
"Question: What is 8 plus 78?
Answer:",86,19,,False
"Question: What is 33 plus 86?
Answer:",119,99,,False
"Question: What is 27 plus 54?
Answer:",81,19,,False
"Question: What is 97 plus 56?
Answer:",153,56,,False
"Question: What is 86 plus 32?
Answer:",118,19,,False
"Question: What is 88 plus 19?
Answer:",107,19,,False
"Question: What is 16 plus 46?
Answer:",62,19,,False
"Question: What is 84 plus 94?
Answer:",178,99,,False
"Question: What is 76 plus 64?
Answer:",140,99,,False
"Question: What is 83 plus 37?
Answer:",120,19,,False
"Question: What is 29 plus 28?
Answer:",57,19,,False
"Question: What is 54 plus 70?
Answer:",124,19,,False
"Question: What is 43 plus 95?
Answer:",138,99,,False
"Question: What is 91 plus 11?
Answer:",102,11,,False
"Question: What is 8 plus 97?
Answer:",105,99,,False
"Question: What is 27 plus 60?
Answer:",87,19,,False
"Question: What is 11 plus 38?
Answer:",49,19,,False
"Question: What is 84 plus 15?
Answer:",99,19,,False
"Question: What is 86 plus 45?
Answer:",131,19,,False
"Question: What is 98 plus 56?
Answer:",154,19,,False
"Question: What is 85 plus 41?
Answer:",126,19,,False
"Question: What is 99 plus 37?
Answer:",136,37,,False
"Question: What is 22 plus 88?
Answer:",110,99,,False
"Question: What is 42 plus 77?
Answer:",119,77,,False
"Question: What is 67 plus 37?
Answer:",104,19,,False
"Question: What is 70 plus 57?
Answer:",127,19,,False
"Question: What is 58 plus 14?
Answer:",72,19,,False
"Question: What is 43 plus 50?
Answer:",93,99,,False
"Question: What is 35 plus 32?
Answer:",67,19,,False
"Question: What is 31 plus 29?
Answer:",60,19,,False
"Question: What is 7 plus 38?
Answer:",45,19,,False
"Question: What is 5 plus 23?
Answer:",28,19,,False
"Question: What is 36 plus 42?
Answer:",78,19,,False
"Question: What is 96 plus 30?
Answer:",126,30,,False
"Question: What is 87 plus 35?
Answer:",122,19,,False
"Question: What is 56 plus 19?
Answer:",75,19,,False
"Question: What is 34 plus 59?
Answer:",93,19,,False
"Question: What is 34 plus 76?
Answer:",110,19,,False
"Question: What is 80 plus 35?
Answer:",115,19,,False
"Question: What is 63 plus 28?
Answer:",91,19,,False
"Question: What is 25 plus 92?
Answer:",117,99,,False
"Question: What is 89 plus 75?
Answer:",164,19,,False
