question,expected_answer,model_answer,question_type,correct
"Question: What is 586 minus 164?
Answer:",422,102,,False
"Question: What is 279 minus 481?
Answer:",-202,1,,False
"Question: What is 308 minus 283?
Answer:",25,1,,False
"Question: What is 905 minus 582?
Answer:",323,582,,False
"Question: What is 557 minus 71?
Answer:",486,557,,False
"Question: What is 621 minus 739?
Answer:",-118,621,,False
"Question: What is 818 minus 53?
Answer:",765,109,,False
"Question: What is 668 minus 920?
Answer:",-252,1,,False
"Question: What is 124 minus 780?
Answer:",-656,78,,False
"Question: What is 236 minus 52?
Answer:",184,52,,False
"Question: What is 543 minus 692?
Answer:",-149,69,,False
"Question: What is 10 minus 831?
Answer:",-821,100,,False
"Question: What is 801 minus 589?
Answer:",212,1,,False
"Question: What is 421 minus 235?
Answer:",186,235,,False
"Question: What is 565 minus 235?
Answer:",330,235,,False
"Question: What is 150 minus 804?
Answer:",-654,150,,False
"Question: What is 124 minus 513?
Answer:",-389,124,,False
"Question: What is 602 minus 76?
Answer:",526,108,,False
"Question: What is 729 minus 438?
Answer:",291,297,,False
"Question: What is 993 minus 988?
Answer:",5,98,,False
"Question: What is 637 minus 347?
Answer:",290,109,,False
"Question: What is 345 minus 707?
Answer:",-362,1,,False
"Question: What is 392 minus 182?
Answer:",210,182,,False
"Question: What is 836 minus 383?
Answer:",453,11,,False
"Question: What is 435 minus 537?
Answer:",-102,1,,False
"Question: What is 948 minus 649?
Answer:",299,129,,False
"Question: What is 734 minus 597?
Answer:",137,129,,False
"Question: What is 928 minus 682?
Answer:",246,120,,False
"Question: What is 299 minus 85?
Answer:",214,101,,False
"Question: What is 18 minus 167?
Answer:",-149,18,,False
"Question: What is 589 minus 117?
Answer:",472,117,,False
"Question: What is 805 minus 879?
Answer:",-74,1,,False
"Question: What is 78 minus 2?
Answer:",76,77,,False
"Question: What is 669 minus 88?
Answer:",581,107,,False
"Question: What is 247 minus 270?
Answer:",-23,1,,False
"Question: What is 984 minus 833?
Answer:",151,1,,False
"Question: What is 736 minus 588?
Answer:",148,1,,False
"Question: What is 981 minus 392?
Answer:",589,392,,False
"Question: What is 724 minus 724?
Answer:",0,0,,True
"Question: What is 983 minus 489?
Answer:",494,489,,False
"Question: What is 256 minus 574?
Answer:",-318,1,,False
"Question: What is 657 minus 951?
Answer:",-294,1,,False
"Question: What is 653 minus 893?
Answer:",-240,1,,False
"Question: What is 300 minus 717?
Answer:",-417,1,,False
"Question: What is 177 minus 71?
Answer:",106,71,,False
"Question: What is 987 minus 314?
Answer:",673,314,,False
"Question: What is 811 minus 249?
Answer:",562,109,,False
"Question: What is 124 minus 720?
Answer:",-596,124,,False
"Question: What is 184 minus 718?
Answer:",-534,718,,False
"Question: What is 114 minus 377?
Answer:",-263,377,,False
"Question: What is 945 minus 66?
Answer:",879,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 348 minus 750?
Answer:",-402,1,,False
"Question: What is 284 minus 990?
Answer:",-706,12,,False
"Question: What is 40 minus 312?
Answer:",-272,10,,False
"Question: What is 245 minus 932?
Answer:",-687,1,,False
"Question: What is 705 minus 959?
Answer:",-254,1,,False
"Question: What is 92 minus 944?
Answer:",-852,92,,False
"Question: What is 764 minus 462?
Answer:",302,298,,False
"Question: What is 236 minus 670?
Answer:",-434,1,,False
"Question: What is 386 minus 902?
Answer:",-516,1,,False
"Question: What is 641 minus 109?
Answer:",532,109,,False
"Question: What is 379 minus 383?
Answer:",-4,101,,False
"Question: What is 872 minus 393?
Answer:",479,393,,False
"Question: What is 368 minus 951?
Answer:",-583,1,,False
"Question: What is 777 minus 918?
Answer:",-141,1,,False
"Question: What is 506 minus 745?
Answer:",-239,5,,False
"Question: What is 524 minus 229?
Answer:",295,229,,False
"Question: What is 859 minus 536?
Answer:",323,53,,False
"Question: What is 586 minus 181?
Answer:",405,181,,False
"Question: What is 452 minus 78?
Answer:",374,109,,False
"Question: What is 862 minus 620?
Answer:",242,1,,False
"Question: What is 209 minus 661?
Answer:",-452,1,,False
"Question: What is 154 minus 874?
Answer:",-720,874,,False
"Question: What is 635 minus 809?
Answer:",-174,100,,False
"Question: What is 162 minus 836?
Answer:",-674,836,,False
"Question: What is 162 minus 392?
Answer:",-230,162,,False
"Question: What is 383 minus 696?
Answer:",-313,1,,False
"Question: What is 229 minus 656?
Answer:",-427,102,,False
"Question: What is 735 minus 39?
Answer:",696,39,,False
"Question: What is 374 minus 543?
Answer:",-169,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 236 minus 342?
Answer:",-106,10,,False
"Question: What is 529 minus 812?
Answer:",-283,1,,False
"Question: What is 683 minus 15?
Answer:",668,51,,False
"Question: What is 338 minus 281?
Answer:",57,1,,False
"Question: What is 895 minus 946?
Answer:",-51,1,,False
"Question: What is 723 minus 22?
Answer:",701,44,,False
"Question: What is 38 minus 488?
Answer:",-450,38,,False
"Question: What is 53 minus 30?
Answer:",23,10,,False
"Question: What is 802 minus 707?
Answer:",95,707,,False
"Question: What is 4 minus 286?
Answer:",-282,10,,False
"Question: What is 50 minus 926?
Answer:",-876,1,,False
"Question: What is 704 minus 217?
Answer:",487,70,,False
"Question: What is 817 minus 46?
Answer:",771,20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 736 minus 929?
Answer:",-193,1,,False
"Question: What is 893 minus 797?
Answer:",96,1,,False
"Question: What is 168 minus 358?
Answer:",-190,358,,False
"Question: What is 317 minus 95?
Answer:",222,95,,False
"Question: What is 236 minus 859?
Answer:",-623,1,,False
"Question: What is 36 minus 695?
Answer:",-659,695,,False
"Question: What is 551 minus 435?
Answer:",116,435,,False
"Question: What is 695 minus 794?
Answer:",-99,794,,False
"Question: What is 491 minus 994?
Answer:",-503,1,,False
"Question: What is 761 minus 701?
Answer:",60,701,,False
"Question: What is 62 minus 715?
Answer:",-653,105,,False
"Question: What is 337 minus 706?
Answer:",-369,1,,False
"Question: What is 946 minus 336?
Answer:",610,946,,False
"Question: What is 936 minus 926?
Answer:",10,1,,False
"Question: What is 461 minus 966?
Answer:",-505,966,,False
"Question: What is 979 minus 506?
Answer:",473,5,,False
"Question: What is 998 minus 990?
Answer:",8,990,,False
"Question: What is 197 minus 812?
Answer:",-615,197,,False
"Question: What is 974 minus 7?
Answer:",967,973,,False
"Question: What is 766 minus 32?
Answer:",734,49,,False
"Question: What is 939 minus 88?
Answer:",851,88,,False
"Question: What is 21 minus 990?
Answer:",-969,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 694 minus 228?
Answer:",466,109,,False
"Question: What is 582 minus 662?
Answer:",-80,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,,False
"Question: What is 681 minus 282?
Answer:",399,1,,False
"Question: What is 794 minus 686?
Answer:",108,142,,False
"Question: What is 307 minus 351?
Answer:",-44,351,,False
"Question: What is 277 minus 286?
Answer:",-9,1,,False
"Question: What is 317 minus 994?
Answer:",-677,994,,False
"Question: What is 417 minus 503?
Answer:",-86,503,,False
"Question: What is 878 minus 203?
Answer:",675,878,,False
"Question: What is 104 minus 152?
Answer:",-48,104,,False
"Question: What is 982 minus 36?
Answer:",946,129,,False
"Question: What is 245 minus 874?
Answer:",-629,1,,False
"Question: What is 504 minus 424?
Answer:",80,1,,False
"Question: What is 917 minus 67?
Answer:",850,-109,,False
"Question: What is 700 minus 826?
Answer:",-126,1,,False
"Question: What is 636 minus 363?
Answer:",273,1,,False
"Question: What is 740 minus 762?
Answer:",-22,1,,False
"Question: What is 232 minus 374?
Answer:",-142,1,,False
"Question: What is 246 minus 318?
Answer:",-72,1,,False
"Question: What is 662 minus 76?
Answer:",586,662,,False
"Question: What is 137 minus 550?
Answer:",-413,137,,False
"Question: What is 249 minus 960?
Answer:",-711,1,,False
"Question: What is 125 minus 367?
Answer:",-242,125,,False
"Question: What is 381 minus 650?
Answer:",-269,1,,False
"Question: What is 310 minus 493?
Answer:",-183,493,,False
"Question: What is 37 minus 185?
Answer:",-148,185,,False
"Question: What is 330 minus 535?
Answer:",-205,1,,False
"Question: What is 533 minus 79?
Answer:",454,4,,False
"Question: What is 953 minus 928?
Answer:",25,928,,False
"Question: What is 734 minus 392?
Answer:",342,392,,False
"Question: What is 673 minus 421?
Answer:",252,67,,False
"Question: What is 451 minus 518?
Answer:",-67,1,,False
"Question: What is 984 minus 57?
Answer:",927,57,,False
"Question: What is 363 minus 667?
Answer:",-304,1,,False
"Question: What is 349 minus 554?
Answer:",-205,109,,False
"Question: What is 258 minus 608?
Answer:",-350,1,,False
"Question: What is 270 minus 990?
Answer:",-720,1,,False
"Question: What is 522 minus 881?
Answer:",-359,1,,False
"Question: What is 193 minus 942?
Answer:",-749,193,,False
"Question: What is 978 minus 558?
Answer:",420,1,,False
"Question: What is 702 minus 546?
Answer:",156,702,,False
"Question: What is 233 minus 921?
Answer:",-688,1,,False
"Question: What is 9 minus 37?
Answer:",-28,1,,False
"Question: What is 985 minus 408?
Answer:",577,408,,False
"Question: What is 439 minus 903?
Answer:",-464,1,,False
"Question: What is 252 minus 611?
Answer:",-359,1,,False
"Question: What is 780 minus 661?
Answer:",119,1,,False
"Question: What is 343 minus 525?
Answer:",-182,102,,False
"Question: What is 436 minus 600?
Answer:",-164,1,,False
"Question: What is 761 minus 691?
Answer:",70,1,,False
"Question: What is 95 minus 994?
Answer:",-899,994,,False
"Question: What is 439 minus 52?
Answer:",387,439,,False
"Question: What is 763 minus 574?
Answer:",189,1,,False
"Question: What is 887 minus 429?
Answer:",458,429,,False
"Question: What is 395 minus 832?
Answer:",-437,1,,False
"Question: What is 496 minus 728?
Answer:",-232,1,,False
"Question: What is 733 minus 693?
Answer:",40,1,,False
"Question: What is 177 minus 142?
Answer:",35,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,False
"Question: What is 193 minus 669?
Answer:",-476,193,,False
"Question: What is 568 minus 904?
Answer:",-336,1,,False
"Question: What is 664 minus 884?
Answer:",-220,1,,False
"Question: What is 440 minus 635?
Answer:",-195,1025,,False
"Question: What is 841 minus 99?
Answer:",742,9,,False
"Question: What is 154 minus 530?
Answer:",-376,154,,False
"Question: What is 766 minus 537?
Answer:",229,1,,False
"Question: What is 466 minus 94?
Answer:",372,5,,False
"Question: What is 702 minus 982?
Answer:",-280,1,,False
"Question: What is 859 minus 588?
Answer:",271,1,,False
"Question: What is 39 minus 293?
Answer:",-254,293,,False
"Question: What is 233 minus 429?
Answer:",-196,1,,False
"Question: What is 925 minus 896?
Answer:",29,12,,False
"Question: What is 761 minus 212?
Answer:",549,761,,False
"Question: What is 139 minus 561?
Answer:",-422,561,,False
"Question: What is 728 minus 533?
Answer:",195,109,,False
"Question: What is 934 minus 734?
Answer:",200,934,,False
"Question: What is 826 minus 930?
Answer:",-104,1,,False
"Question: What is 918 minus 241?
Answer:",677,109,,False
"Question: What is 164 minus 830?
Answer:",-666,164,,False
"Question: What is 875 minus 657?
Answer:",218,1,,False
"Question: What is 550 minus 510?
Answer:",40,1,,False
"Question: What is 523 minus 258?
Answer:",265,258,,False
"Question: What is 512 minus 712?
Answer:",-200,1,,False
"Question: What is 845 minus 776?
Answer:",69,776,,False
"Question: What is 521 minus 237?
Answer:",284,109,,False
"Question: What is 146 minus 910?
Answer:",-764,146,,False
